timestamp,raw_gesture,stable_gesture,command,throttle,vx,vy,vz,yaw_rate,altitude,fps
1776435856.973,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.57,2.3
1776435856.990,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.57,30.4
1776435857.005,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,41.8
1776435857.020,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,48.6
1776435857.036,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,50.8
1776435857.052,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,52.9
1776435857.067,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,55.2
1776435857.083,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,56.1
1776435857.097,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,57.5
1776435857.113,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,58.0
1776435857.128,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.56,59.0
1776435857.143,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,59.7
1776435857.158,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,60.0
1776435857.174,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,60.3
1776435857.188,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,60.9
1776435857.203,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,61.3
1776435857.219,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,61.5
1776435857.234,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,61.7
1776435857.250,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.55,61.8
1776435857.265,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,61.9
1776435857.282,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,61.8
1776435857.297,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.0
1776435857.313,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.1
1776435857.328,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.2
1776435857.344,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.2
1776435857.360,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.3
1776435857.375,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.54,62.5
1776435857.390,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,62.6
1776435857.407,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,62.5
1776435857.422,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,62.6
1776435857.438,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.6
1776435857.453,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.8
1776435857.470,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.7
1776435857.485,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.6
1776435857.500,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.9
1776435857.516,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.8
1776435857.531,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.53,64.7
1776435857.546,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.52,64.8
1776435857.562,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.52,64.6
1776435857.578,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.52,64.7
