timestamp,raw_gesture,stable_gesture,stable_ratio,current_intent,candidate_intent,fps
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,104.5
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,94.1
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,86.8
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,80.2
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,74.6
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,69.0
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,64.4
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,60.8
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,56.5
2026-04-24 18:17:50,NONE,UNSTABLE,1.00,HOVER,HOVER,53.6
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,51.0
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,46.6
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,43.4
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,39.8
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,36.5
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,34.5
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,33.6
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,31.6
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,30.5
2026-04-24 18:17:51,NONE,UNSTABLE,1.00,HOVER,HOVER,28.5
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,26.6
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,24.4
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,23.1
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,22.8
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,21.4
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,20.8
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,21.3
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,20.2
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,19.4
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,20.2
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,19.8
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,19.7
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,18.7
2026-04-24 18:17:52,NONE,UNSTABLE,1.00,HOVER,HOVER,18.3
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,18.8
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,17.8
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,17.6
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,18.7
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,18.3
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,17.5
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,17.1
2026-04-24 18:17:53,NONE,UNSTABLE,1.00,HOVER,HOVER,17.8
